CookerStat, GenerateAssetRegistry=0.023235, Initialize=0.118937, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Idle.uasset, AutoPackageBackupDelegate=14.691055, FlushAsyncLoading=0.009682, FlushStreamingFunc=0.045639, BlockTillAllRequestsFinished=0.005528, ResetLoadersForSaveUnMarkAllObjects=0.371467, TagPackageExports=0.043701, BeginCacheForCookedPlatformData=0.001661, SerializeImports=0.268571, GatherLocalizableTextData=0.319194, MarkNames=0.006914, SerializeSummary=0.013277, SerializeNames=0.064444, SerializeGatherableTextData=0.001661, BuildExportMap=0.018530, SortExportsNonSeekfree=0.009406, SortExportsSeekfreeConstructor=0.063341, SortExportsSeekfreeInner=0.333294, SortExportsSeekfree=0.002768, BuildDependencyMap=0.010785, SerializeImportMap=0.008851, SerializeExportMap=0.005808, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.325061, SerializeExports=0.351276, SerializeBulkData=0.013001, MoveFile=0.658017, UnaccountedTime=0.516403, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_9, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Auto1.uasset, AutoPackageBackupDelegate=13.434209, FlushAsyncLoading=0.006914, FlushStreamingFunc=0.042044, BlockTillAllRequestsFinished=0.004150, ResetLoadersForSaveUnMarkAllObjects=0.122253, TagPackageExports=0.485975, BeginCacheForCookedPlatformData=0.001386, SerializeImports=0.771698, GatherLocalizableTextData=0.289597, MarkNames=0.007465, SerializeSummary=0.011340, SerializeNames=0.070255, SerializeGatherableTextData=0.001386, BuildExportMap=0.021849, SortExportsNonSeekfree=0.006087, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=1.047742, SortExportsSeekfree=0.003595, BuildDependencyMap=0.007745, SerializeImportMap=0.010233, SerializeExportMap=0.006083, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.690441, SerializeExports=3.004648, SerializeBulkData=0.071917, MoveFile=0.567023, UnaccountedTime=0.137191, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_10, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_InAir_Auto1.uasset, AutoPackageBackupDelegate=13.376955, FlushAsyncLoading=0.005256, FlushStreamingFunc=0.074126, BlockTillAllRequestsFinished=0.004150, ResetLoadersForSaveUnMarkAllObjects=0.140235, TagPackageExports=0.040382, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.247553, GatherLocalizableTextData=0.306465, MarkNames=0.005532, SerializeSummary=0.009682, SerializeNames=0.047021, SerializeGatherableTextData=0.001106, BuildExportMap=0.015490, SortExportsNonSeekfree=0.008576, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=0.333574, SortExportsSeekfree=0.002768, BuildDependencyMap=0.006914, SerializeImportMap=0.005532, SerializeExportMap=0.004977, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.164852, SerializeExports=0.328872, SerializeBulkData=0.004426, MoveFile=0.645850, UnaccountedTime=0.080764, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_11, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_JumpStart_Auto1.uasset, AutoPackageBackupDelegate=36.824169, FlushAsyncLoading=0.025447, FlushStreamingFunc=0.070807, BlockTillAllRequestsFinished=0.008021, ResetLoadersForSaveUnMarkAllObjects=0.173151, TagPackageExports=0.043705, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.286553, GatherLocalizableTextData=0.300657, MarkNames=0.005256, SerializeSummary=0.009682, SerializeNames=0.048403, SerializeGatherableTextData=0.001382, BuildExportMap=0.015765, SortExportsNonSeekfree=0.008300, SortExportsSeekfreeConstructor=0.007745, SortExportsSeekfreeInner=0.333294, SortExportsSeekfree=0.002492, BuildDependencyMap=0.006914, SerializeImportMap=0.005811, SerializeExportMap=0.004701, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.174530, SerializeExports=0.333574, SerializeBulkData=0.004701, MoveFile=0.508103, UnaccountedTime=0.103448, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_12, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Cylinder_Idle_Auto1.uasset, AutoPackageBackupDelegate=20.103741, FlushAsyncLoading=0.011891, FlushStreamingFunc=0.081319, BlockTillAllRequestsFinished=0.012726, ResetLoadersForSaveUnMarkAllObjects=1.206506, TagPackageExports=0.043701, BeginCacheForCookedPlatformData=0.001661, SerializeImports=0.467166, GatherLocalizableTextData=0.310063, MarkNames=0.005532, SerializeSummary=0.011895, SerializeNames=0.049233, SerializeGatherableTextData=0.001106, BuildExportMap=0.015765, SortExportsNonSeekfree=0.009127, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.332467, SortExportsSeekfree=0.003044, BuildDependencyMap=0.007190, SerializeImportMap=0.009403, SerializeExportMap=0.004981, SerializeDependencyMap=0.000827, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.288486, SerializeExports=0.325002, SerializeBulkData=0.004977, MoveFile=0.514466, UnaccountedTime=0.080489, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_13, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Cube_Idle_Auto1.uasset, AutoPackageBackupDelegate=14.988397, FlushAsyncLoading=0.006083, FlushStreamingFunc=0.136640, BlockTillAllRequestsFinished=0.004426, ResetLoadersForSaveUnMarkAllObjects=0.143275, TagPackageExports=0.038169, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.249766, GatherLocalizableTextData=0.304252, MarkNames=0.004981, SerializeSummary=0.009682, SerializeNames=0.047572, SerializeGatherableTextData=0.001382, BuildExportMap=0.015214, SortExportsNonSeekfree=0.009403, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.329424, SortExportsSeekfree=0.002768, BuildDependencyMap=0.007190, SerializeImportMap=0.005808, SerializeExportMap=0.004705, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.177298, SerializeExports=0.330806, SerializeBulkData=0.004701, MoveFile=0.449188, UnaccountedTime=0.076618, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
DDCTransactionIdAD0D31F7479737AE758F0197AC956959_1, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_BA54DF8E4C7D4C74BC7A849546E47761, StartTime=2016.05.24-22.18.30, HierarchicalDDC=, DataSize=170213, Duration=1.922336, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_14, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Idle.uasset, AutoPackageBackupDelegate=13.045594, FlushAsyncLoading=0.008021, FlushStreamingFunc=0.058915, BlockTillAllRequestsFinished=0.006914, ResetLoadersForSaveUnMarkAllObjects=0.295129, TagPackageExports=0.037894, BeginCacheForCookedPlatformData=0.001382, SerializeImports=24.207577, GatherLocalizableTextData=0.338275, MarkNames=0.006087, SerializeSummary=0.014104, SerializeNames=0.049513, SerializeGatherableTextData=0.001106, BuildExportMap=0.016872, SortExportsNonSeekfree=0.009127, SortExportsSeekfreeConstructor=0.056978, SortExportsSeekfreeInner=0.353489, SortExportsSeekfree=0.003319, BuildDependencyMap=0.007469, SerializeImportMap=0.005808, SerializeExportMap=0.005253, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001658, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.195552, SerializeExports=0.331361, SerializeBulkData=0.005811, MoveFile=0.695363, UnaccountedTime=0.533272, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_15, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Walk.uasset, AutoPackageBackupDelegate=15.599116, FlushAsyncLoading=0.007194, FlushStreamingFunc=0.045914, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.330810, TagPackageExports=0.072744, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.361789, GatherLocalizableTextData=0.303976, MarkNames=0.004977, SerializeSummary=0.010237, SerializeNames=0.047848, SerializeGatherableTextData=0.001106, BuildExportMap=0.016045, SortExportsNonSeekfree=0.008572, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.370361, SortExportsSeekfree=0.002488, BuildDependencyMap=0.006914, SerializeImportMap=0.006363, SerializeExportMap=0.005808, SerializeDependencyMap=0.001386, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.344421, SerializeExports=0.460807, SerializeBulkData=0.005253, MoveFile=0.669636, UnaccountedTime=0.518341, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_16, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3.uasset, AutoPackageBackupDelegate=13.989058, FlushAsyncLoading=0.006638, FlushStreamingFunc=0.075512, BlockTillAllRequestsFinished=0.004146, ResetLoadersForSaveUnMarkAllObjects=0.118937, TagPackageExports=0.500634, BeginCacheForCookedPlatformData=0.001386, SerializeImports=0.753995, GatherLocalizableTextData=0.277702, MarkNames=0.006087, SerializeSummary=0.009678, SerializeNames=0.079937, SerializeGatherableTextData=0.001658, BuildExportMap=0.022128, SortExportsNonSeekfree=0.006638, SortExportsSeekfreeConstructor=0.006914, SortExportsSeekfreeInner=1.047190, SortExportsSeekfree=0.003040, BuildDependencyMap=0.007469, SerializeImportMap=0.006914, SerializeExportMap=0.004701, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.156552, SerializeExports=2.999671, SerializeBulkData=0.062235, MoveFile=0.599936, UnaccountedTime=0.523869, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_17, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Blueprints/ShooterGameMode.uasset, AutoPackageBackupDelegate=15.138309, FlushAsyncLoading=0.006638, FlushStreamingFunc=0.054210, BlockTillAllRequestsFinished=0.004150, ResetLoadersForSaveUnMarkAllObjects=0.272445, TagPackageExports=0.594124, BeginCacheForCookedPlatformData=0.002213, SerializeImports=0.865188, GatherLocalizableTextData=0.638936, MarkNames=0.012998, SerializeSummary=0.012450, SerializeNames=0.069149, SerializeGatherableTextData=0.005532, BuildExportMap=0.045359, SortExportsNonSeekfree=0.042044, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=4.371304, SortExportsSeekfree=0.005253, BuildDependencyMap=0.016320, SerializeImportMap=0.007465, SerializeExportMap=0.008851, SerializeDependencyMap=0.003595, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.208829, SerializeExports=1.005143, SerializeBulkData=0.004705, MoveFile=0.688169, UnaccountedTime=0.532720, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_18, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_InAir.uasset, AutoPackageBackupDelegate=13.459657, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.071086, BlockTillAllRequestsFinished=0.006363, ResetLoadersForSaveUnMarkAllObjects=0.281297, TagPackageExports=0.038449, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.290699, GatherLocalizableTextData=0.310894, MarkNames=0.004981, SerializeSummary=0.009403, SerializeNames=0.060849, SerializeGatherableTextData=0.001386, BuildExportMap=0.015765, SortExportsNonSeekfree=0.008576, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=0.341043, SortExportsSeekfree=0.002488, BuildDependencyMap=0.007190, SerializeImportMap=0.005808, SerializeExportMap=0.004977, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.183105, SerializeExports=0.330254, SerializeBulkData=0.004426, MoveFile=0.569511, UnaccountedTime=0.500359, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_19, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_JumpStart.uasset, AutoPackageBackupDelegate=13.125531, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.054214, BlockTillAllRequestsFinished=0.006914, ResetLoadersForSaveUnMarkAllObjects=0.287108, TagPackageExports=0.043977, BeginCacheForCookedPlatformData=0.001386, SerializeImports=0.471316, GatherLocalizableTextData=0.297617, MarkNames=0.005253, SerializeSummary=0.010513, SerializeNames=0.047576, SerializeGatherableTextData=0.001103, BuildExportMap=0.016045, SortExportsNonSeekfree=0.008296, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.533000, SortExportsSeekfree=0.003595, BuildDependencyMap=0.009682, SerializeImportMap=0.005811, SerializeExportMap=0.004701, SerializeDependencyMap=0.001661, SerializeStringAssetReferenceMap=0.002213, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.238422, SerializeExports=0.453062, SerializeBulkData=0.004701, MoveFile=0.562318, UnaccountedTime=0.485975, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
